ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/01,11:21:26 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:28:42 +2:00 GMT,212.106.157.30:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:29:10 +2:00 GMT,212.110.76.198:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:37:42 +2:00 GMT,212.109.5.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:37:52 +2:00 GMT,212.109.29.176:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:40:26 +2:00 GMT,212.110.66.34:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:44:24 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:46:04 +2:00 GMT,212.112.6.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:51:42 +2:00 GMT,212.107.59.107:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,11:59:50 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:03:08 +2:00 GMT,212.111.172.64:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:04:44 +2:00 GMT,212.109.5.1:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:04:54 +2:00 GMT,212.109.7.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:05:16 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:10:28 +2:00 GMT,212.111.146.151:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/01,12:10:46 +2:00 GMT,212.107.59.39:0,192.168.31.2:0,ICMP (type:8/subtype:0)
