ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/03,11:24:52 +2:00 GMT,212.106.68.238:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:27:40 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:28:52 +2:00 GMT,212.111.168.72:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:41:50 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:45:00 +2:00 GMT,212.107.57.145:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:50:26 +2:00 GMT,212.111.173.64:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:52:06 +2:00 GMT,212.110.42.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,11:59:22 +2:00 GMT,212.110.19.137:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:00:40 +2:00 GMT,212.107.41.197:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:02:18 +2:00 GMT,212.109.7.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:05:42 +2:00 GMT,212.110.66.192:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:06:28 +2:00 GMT,212.109.29.19:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:08:48 +2:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:16:52 +2:00 GMT,212.111.169.65:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:19:32 +2:00 GMT,68.113.204.189:3838,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/10/03,12:21:46 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:23:42 +2:00 GMT,212.106.157.30:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:23:44 +2:00 GMT,68.107.251.138:3788,192.168.31.2:17300,TCP (flags:S)
FWIN,2003/10/03,12:27:14 +2:00 GMT,212.111.146.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:30:34 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:45:24 +2:00 GMT,212.111.147.132:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,12:50:36 +2:00 GMT,212.106.68.238:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,13:01:26 +2:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,13:12:40 +2:00 GMT,212.106.65.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,13:17:26 +2:00 GMT,212.111.147.22:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,13:25:40 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/03,13:26:02 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
