ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/10/02,11:23:30 +2:00 GMT,212.107.59.130:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:23:54 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:40:20 +2:00 GMT,212.112.189.11:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:51:44 +2:00 GMT,212.109.5.42:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:52:04 +2:00 GMT,212.107.36.185:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:55:30 +2:00 GMT,66.162.102.102:33983,192.168.31.2:111,TCP (flags:S)
FWIN,2003/10/02,11:56:06 +2:00 GMT,212.111.147.153:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:57:10 +2:00 GMT,212.107.59.198:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,11:59:24 +2:00 GMT,212.110.66.92:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:00:18 +2:00 GMT,212.110.42.41:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2003/10/02,12:02:32 +2:00 GMT,Mathcad Application,192.168.11.1:53,N/A
FWIN,2003/10/02,12:05:48 +2:00 GMT,212.111.141.53:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:09:44 +2:00 GMT,212.110.66.82:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:17:38 +2:00 GMT,212.109.31.254:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:19:16 +2:00 GMT,212.109.50.213:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:20:46 +2:00 GMT,212.109.31.9:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:35:36 +2:00 GMT,212.107.217.50:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:43:10 +2:00 GMT,212.110.84.6:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:43:48 +2:00 GMT,212.109.110.2:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:45:44 +2:00 GMT,212.107.59.130:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:53:50 +2:00 GMT,212.107.205.146:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:57:06 +2:00 GMT,212.111.169.185:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/10/02,12:59:10 +2:00 GMT,194.183.24.139:1785,192.168.31.2:554,TCP (flags:S)
FWIN,2003/10/02,13:00:08 +2:00 GMT,212.109.53.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
